UniProt ID	Genes	AZ	GWAS	LRRK2 Pathway	"7D - 
DMSO vs 1nm MLi2"		"7D - 
DMSO vs 3nm MLi2"		"7D - 
DMSO vs 10nm MLi2"		"7D - 
DMSO vs 30nm MLi2"		"7D - 
DMSO vs 100nm MLi2"		"14D - 
DMSO vs 1nm MLi2"		"14D - 
DMSO vs 3nm MLi2"		"14D - 
DMSO vs 10nm MLi2"		"14D - 
DMSO vs 30nm MLi2"		"14D - 
DMSO vs 100nm MLi2"		"7D - 
DMSO vs 1nm GSK"		"7D - 
DMSO vs 3nm GSK"		"7D - 
DMSO vs 10nm GSK"		"7D - 
DMSO vs 30nm GSK"		"7D - 
DMSO vs 100nm GSK"		"14D - 
DMSO vs 1nm GSK"		"14D - 
DMSO vs 3nm GSK"		"14D - 
DMSO vs 10nm GSK"		"14D - 
DMSO vs 30nm GSK"		"14D - 
DMSO vs 100nm GSK"	
					Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC
C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;Q8BFU2;Q8CGP5;Q8CGP6	H2ac11;H2ac12;H2ac13;H2ac25;H2ac4;H2ac6;H2ac7;H2ac8;Hist1h2af;Hist1h2an;Hist1h2ao;Hist1h2ap														1.2425973294	-0.2173	1.3033674607	-0.2455	1.1477914967	-0.2345	1.6705239432	-0.2752	3.1353259475	-0.5838																				
P04230	H2-Eb1																																											
P10648	Gsta2														2.6222832961	-0.4014	2.8771854746	-0.537	4.1655967505	-0.8983	2.3809769527	-0.3744	0.8864499294	-0.1746	0.5843969627	0.1847	1.8482234521	0.5364	1.1046793117	0.3417	0.0586582779	0.0261	1.7501329070	0.4585										
P84078	Arf1														0.1538480707	0.1385	0.3038698661	-0.2521	0.3398382868	-0.3937	0.0504568551	0.0561	0.4274206695	-0.4748											0.1964097515	0.0561	0.2518252597	-0.1446	2.1561204021	-1.1424	0.2267167145	-0.3025	1.3132660065	-1.1342
Q64478;Q64525;Q6ZWY9;P10854	H2bc14;H2bc18;H2bc4;H2bc9														0.0362867944	0.0855	0.2462466848	-0.6678	1.4016362666	-2.639	1.2831132272	-2.4931	2.9942943621	-3.4792																				
Q80YR9	Rbm12b1														0.7158639231	0.1564	3.1523859548	0.4111	1.4342117911	0.3286	2.5955245385	0.3562	1.5953183983	0.3371																				
Q9CQL1;P61327	Magoh;Magohb				3.1144386885	-0.3949	5.7146960908	-0.6872	4.0960697789	-0.65	4.2164853710	-0.4805	4.8811867242	-0.6008	1.0066803814	-0.1192	1.0867026131	-0.192	0.8126821771	-0.1412	2.8329038333	-0.3067	4.1060868730	-0.5065									4.7235479892	-0.4722	0.0436797415	-0.0095	4.0170712278	-0.3319	0.8977742208	0.0778	5.9613613144	-0.6427	5.5117557064	-0.4668
Q9CR84	Atp5mc1																																											
Q9CXU9;P48024	Eif1;Eif1b														0.1343948719	0.0356	0.7628210959	-0.1205	0.3474786891	-0.0642	0.1356704333	-0.0288	0.9549199583	-0.1515																				
